step,ux,uy
713,0.0484424,-5.08585e-05
714,0.0484484,-5.34429e-05
715,0.0484474,-5.52244e-05
716,0.0484527,-5.62486e-05
717,0.0484511,-5.6605e-05
718,0.0484557,-5.64099e-05
719,0.0484536,-5.57894e-05
720,0.0484576,-5.48644e-05
721,0.0484551,-5.37409e-05
722,0.0484585,-5.25039e-05
723,0.0484557,-5.12175e-05
724,0.0484587,-4.99272e-05
725,0.0484556,-4.86652e-05
726,0.0484581,-4.74543e-05
727,0.0484548,-4.63118e-05
728,0.0484569,-4.52495e-05
729,0.0484534,-4.42725e-05
730,0.0484552,-4.33755e-05
731,0.0484515,-4.25398e-05
732,0.0484529,-4.17305e-05
733,0.0484489,-4.08968e-05
734,0.04845,-3.99749e-05
735,0.0484458,-3.88946e-05
736,0.0484464,-3.75872e-05
737,0.048442,-3.59954e-05
738,0.0484422,-3.40815e-05
739,0.0484375,-3.18344e-05
740,0.0484372,-2.92729e-05
741,0.0484322,-2.64455e-05
742,0.0484314,-2.34268e-05
743,0.048426,-2.03107e-05
744,0.0484248,-1.72021e-05
745,0.048419,-1.42077e-05
746,0.0484174,-1.14269e-05
747,0.0484114,-8.94359e-06
748,0.0484094,-6.81917e-06
749,0.0484032,-5.08795e-06
750,0.048401,-3.75395e-06
751,0.0483948,-2.7905e-06
752,0.0483924,-2.14221e-06
753,0.0483862,-1.72989e-06
754,0.0483838,-1.45806e-06
755,0.0483777,-1.22487e-06
756,0.0483752,-9.33281e-07
757,0.0483692,-5.02387e-07
758,0.0483666,1.22905e-07
759,0.0483606,9.65268e-07
760,0.0483581,2.01277e-06
761,0.0483521,3.2216e-06
762,0.0483495,4.52339e-06
763,0.0483436,5.83615e-06
764,0.048341,7.07672e-06
765,0.0483352,8.17282e-06
766,0.0483327,9.07263e-06
767,0.0483272,9.75036e-06
768,0.0483249,1.02071e-05
769,0.0483198,1.04674e-05
770,0.0483179,1.05721e-05
771,0.0483134,1.05703e-05
772,0.048312,1.05099e-05
773,0.0483082,1.04307e-05
774,0.0483074,1.03598e-05
775,0.0483044,1.03094e-05
776,0.0483044,1.02782e-05
777,0.0483022,1.02539e-05
778,0.0483029,1.02177e-05
779,0.0483016,1.01487e-05
780,0.0483031,1.00277e-05
781,0.0483025,9.84058e-06
782,0.0483047,9.5803e-06
783,0.0483049,9.24761e-06
784,0.0483076,8.85114e-06
785,0.0483084,8.4064e-06
786,0.0483116,7.93428e-06
787,0.0483129,7.45903e-06
788,0.0483168,7.0059e-06
789,0.0483189,6.59864e-06
790,0.0483237,6.25714e-06
791,0.0483271,5.99536e-06
792,0.0483336,5.81987e-06
793,0.0483395,5.72919e-06
794,0.0483491,5.71399e-06
795,0.0483588,5.75828e-06
796,0.0483733,5.84121e-06
797,0.0483889,5.93951e-06
798,0.04841,6.02997e-06
799,0.0484332,6.0919e-06
800,0.0484626,6.109e-06
801,0.0484946,6.07072e-06
802,0.0485328,5.9727e-06
803,0.0485734,5.8165e-06
804,0.0486193,5.60868e-06
805,0.0486663,5.35929e-06
806,0.0487166,5.08024e-06
807,0.0487657,4.78358e-06
808,0.0488153,4.48012e-06
809,0.0488606,4.17838e-06
810,0.048903,3.88411e-06
811,0.0489379,3.60032e-06
812,0.048967,3.32775e-06
813,0.0489861,3.06557e-06
814,0.0489976,2.81227e-06
815,0.0489982,2.56646e-06
816,0.0489909,2.32749e-06
817,0.0489735,2.09577e-06
818,0.0489499,1.87293e-06
819,0.0489187,1.66164e-06
820,0.048884,1.46532e-06
821,0.0488449,1.28773e-06
822,0.0488055,1.13263e-06
823,0.0487649,1.0034e-06
824,0.0487267,9.02734e-07
825,0.0486894,8.32494e-07
826,0.0486562,7.93558e-07
827,0.0486248,7.85809e-07
828,0.0485977,8.08194e-07
829,0.0485722,8.5885e-07
830,0.0485503,9.35317e-07
831,0.0485291,1.03478e-06
832,0.0485103,1.15433e-06
833,0.0484912,1.29119e-06
834,0.0484735,1.44289e-06
835,0.0484547,1.60728e-06
836,0.0484368,1.78247e-06
837,0.0484177,1.96664e-06
838,0.0483994,2.15779e-06
839,0.0483801,2.35336e-06
840,0.0483621,2.55002e-06
841,0.0483435,2.74351e-06
842,0.0483264,2.92853e-06
843,0.0483091,3.09897e-06
844,0.0482936,3.24814e-06
845,0.048278,3.36924e-06
846,0.0482641,3.45584e-06
847,0.04825,3.50242e-06
848,0.0482375,3.50481e-06
849,0.0482246,3.46061e-06
850,0.048213,3.36935e-06
851,0.0482006,3.23258e-06
852,0.0481891,3.0538e-06
853,0.0481766,2.83822e-06
854,0.0481646,2.59248e-06
855,0.0481514,2.32418e-06
856,0.0481385,2.04156e-06
857,0.0481243,1.75301e-06
858,0.0481103,1.46667e-06
859,0.0480951,1.19005e-06
860,0.0480802,9.2971e-07
861,0.0480643,6.90958e-07
862,0.0480489,4.77658e-07
863,0.0480328,2.92108e-07
864,0.0480176,1.35019e-07
865,0.0480019,5.59992e-09
866,0.0479872,-9.82576e-08
867,0.0479724,-1.79701e-07
868,0.0479587,-2.42568e-07
869,0.0479449,-2.91e-07
870,0.0479322,-3.29053e-07
871,0.0479195,-3.60346e-07
872,0.0479078,-3.87784e-07
873,0.0478961,-4.13367e-07
874,0.0478854,-4.38112e-07
875,0.0478745,-4.62083e-07
876,0.0478647,-4.8451e-07
877,0.0478547,-5.03988e-07
878,0.0478458,-5.18718e-07
879,0.0478368,-5.26769e-07
880,0.047829,-5.26338e-07
881,0.0478212,-5.15976e-07
882,0.0478145,-4.94771e-07
883,0.047808,-4.62472e-07
884,0.0478026,-4.19556e-07
885,0.0477975,-3.67214e-07
886,0.0477935,-3.07286e-07
887,0.0477898,-2.42125e-07
888,0.0477871,-1.74425e-07
889,0.0477847,-1.07011e-07
